Time (UTC),Event,Vessel,Dock Time (UTC)
2020-08-20 21:06,ARRIVAL,ARIES J,
2020-08-20 20:48,ARRIVAL,PILOT 745 SE,
2020-08-20 20:20,DEPARTURE,AALBORG,2020-08-20 20:00
2020-08-20 19:48,DEPARTURE,PILOT 745 SE,2020-08-20 19:40
2020-08-20 19:39,ARRIVAL,HELENA SCHEPERS,
2020-08-20 19:15,ARRIVAL,PILOT 745 SE,
2020-08-20 19:10,DEPARTURE,STENA JUTLANDICA,2020-08-20 18:41
2020-08-20 19:07,ARRIVAL,TRUBADUREN,
2020-08-20 18:47,ARRIVAL,ST ERIK,
2020-08-20 18:45,ARRIVAL,KBV 475,
2020-08-20 18:36,ARRIVAL,BEGONIA SEAWAYS,
2020-08-20 18:03,DEPARTURE,YSALINE,2020-08-20 17:51
2020-08-20 17:40,DEPARTURE,TRUBADUREN,2020-08-20 16:48
2020-08-20 17:17,DEPARTURE,PILOT 745 SE,2020-08-20 17:09
2020-08-20 17:08,DEPARTURE,ST ERIK,2020-08-20 16:35
2020-08-20 16:56,ARRIVAL,STENA JUTLANDICA,
2020-08-20 16:50,DEPARTURE,FREESIA SEAWAYS,2020-08-20 16:34
2020-08-20 16:44,DEPARTURE,STENA GERMANICA,2020-08-20 16:23
2020-08-20 16:30,DEPARTURE,MOJJNA,2020-08-20 16:18
2020-08-20 16:26,DEPARTURE,KBV 001,2020-08-20 15:49
2020-08-20 16:19,ARRIVAL,POLIS 59-3740,
2020-08-20 16:18,DEPARTURE,YLVA,2020-08-20 15:50
2020-08-20 15:34,DEPARTURE,STENA DANICA,2020-08-20 15:05
2020-08-20 15:15,ARRIVAL,BIANCA,
2020-08-20 15:03,ARRIVAL,YLVA,
2020-08-20 15:03,DEPARTURE,RESCUER,2020-08-20 14:55
2020-08-20 14:55,ARRIVAL,KUNGSO,
2020-08-20 14:40,ARRIVAL,FRAM,
2020-08-20 14:35,DEPARTURE,KBV 475,2020-08-20 14:23
2020-08-20 14:34,DEPARTURE,KAXE,2020-08-20 14:24
2020-08-20 14:31,ARRIVAL,RESCUER,
2020-08-20 14:08,ARRIVAL,KBV 475,
2020-08-20 13:54,ARRIVAL,STENA DANICA,
2020-08-20 13:41,ARRIVAL,WOMBAT,
2020-08-20 13:38,ARRIVAL,VESTBORG,
2020-08-20 13:16,ARRIVAL,SVITZER ODEN,
2020-08-20 12:58,ARRIVAL,SVITZER GEO,
2020-08-20 12:57,ARRIVAL,BOHEME,
2020-08-20 12:48,DEPARTURE,KBV 475,2020-08-20 12:41
2020-08-20 12:45,ARRIVAL,NANNY TOO,
