latitude,longitude,name,time,built,imo,type,flag,destination,status,speed,info_1,info_2,ship_img,coordinates
41.36798,-10.10920,MURCIA MAERSK,2020-09-03 20:51:00,2018,9780457,Container Ship,Denmark,DEWVN>>MAPTM,Under way,178.5° / 18.1 kn,The current position of MURCIA MAERSK is at North East Atlantic Ocean (coordinates 41.36798 N / 10.1092 W) reported 1 min ago by AIS. The vessel is en route to the port of Tanger Med sailing at a speed of 18.1 knots and expected to arrive there on Sep 5 01:00.,The vessel MURCIA MAERSK (IMO: 9780457 MMSI 219036000) is a Container Ship built in 2018 (2 years old) andcurrently sailing under the flag of Denmark.,https://static.vesselfinder.net/ship-photo/9780457-219036000-0d8f560642c4fd9d82dae0d125e93edc/1,41.36798 N/10.1092 W
57.72200,11.98109,SOUND HORIZON,2020-09-03 20:51:00,2012,9651151,Utility Vessel,Gibraltar,-,Under way,318.2° / 0.0 kn,The current position of SOUND HORIZON is at North Sea (coordinates 57.722 N / 11.98109 E) reported 1 min ago by AIS.,The vessel SOUND HORIZON (IMO: 9651151 MMSI 236111849) is a Utility Vessel built in 2012 (8 years old) andcurrently sailing under the flag of Gibraltar.,https://static.vesselfinder.net/ship-photo/9651151-236111849-5007e242031ed631ca38bf21f7cf958d/1,57.722 N/11.98109 E
58.01114,11.69843,SVITZER GEO,2020-09-03 20:50:00,2012,9602459,Tug,Faroe Islands,WALLHAMN,Moored,307.9° / 0.0 kn,The current position of SVITZER GEO is at North Sea (coordinates 58.01114 N / 11.69843 E) reported 2 mins ago by AIS. The vessel is en route to the port of Wallhamn and expected to arrive there on Sep 2 14:00.,The vessel SVITZER GEO (IMO: 9602459 MMSI 231848000) is a Tug built in 2012 (8 years old) andcurrently sailing under the flag of Faeroe Islands.,https://static.vesselfinder.net/ship-photo/9602459-231848000-37f421e372b00775b8b0ae497cc1df7f/1,58.01114 N/11.69843 E
58.31449,11.35214,SVITZER TYR,2020-09-03 20:51:00,2010,9548342,Tug,Faroe Islands,LYSEKIL,Under way,46.8° / 5.3 kn,The current position of SVITZER TYR is at North Sea (coordinates 58.31449 N / 11.35214 E) reported 1 min ago by AIS. The vessel is en route to the port of Lysekil sailing at a speed of 5.3 knots and expected to arrive there on Sep 3 12:00.,The vessel SVITZER TYR (IMO: 9548342 MMSI 231809000) is a Tug built in 2010 (10 years old) andcurrently sailing under the flag of Faeroe Islands.,https://static.vesselfinder.net/ship-photo/9548342-231809000-56e6c0e6c32a11f50a0b2e717b4f2a93/1,58.31449 N/11.35214 E
58.03381,9.54384,SONGA RUBY,2020-09-03 20:51:00,2008,9444479,Chemical/Oil Products Tanker,Malta,BROFJORDEN,Under way,195.7° / 10.3 kn,The current position of SONGA RUBY is at North Sea (coordinates 58.03381 N / 9.54384 E) reported 1 min ago by AIS. The vessel is en route to the port of Brofjorden sailing at a speed of 10.3 knots and expected to arrive there on Sep 3 11:00.,The vessel SONGA RUBY (IMO: 9444479 MMSI 248941000) is a Chemical/Oil Products Tanker built in 2008 (12 years old) andcurrently sailing under the flag of Malta.,https://static.vesselfinder.net/ship-photo/9444479-538003109-92079a0dd9e651a08510d524fc9c44a2/1,58.03381 N/9.54384 E
57.71417,11.95700,KBV 001 POSEIDON,2020-08-23 18:49:00,2009,9380441,Search & Rescue Vessel,Sweden,PATROLLING,-,177.0° / 0.0 kn,The current position of KBV 001 is at North Sea (coordinates 57.71417 N / 11.957 E) reported 11 days ago by AIS. The vessel is en route to PATROLLING and expected to arrive there on Dec 6 00:00.,The vessel KBV 001 (IMO: 9380441 MMSI 266286000) is a Search & Rescue Vessel built in 2009 (11 years old) andcurrently sailing under the flag of Sweden.,https://static.vesselfinder.net/ship-photo/9380441-266286000-c8a1a8fce4a1fc515186c8fa8f94fb43/1,57.71417 N/11.957 E
57.68743,11.89448,SVITZER ODEN,2020-09-03 20:51:00,2006,9342451,Tug,Faroe Islands,-,Under way,328.8° / 0.1 kn,The current position of SVITZER ODEN is at North Sea (coordinates 57.68743 N / 11.89448 E) reported 1 min ago by AIS.,The vessel SVITZER ODEN (IMO: 9342451 MMSI 231807000) is a Tug built in 2006 (14 years old) andcurrently sailing under the flag of Faeroe Islands.,https://static.vesselfinder.net/ship-photo/9342451-231807000-d5e312603ed905a801b164172c43e59b/1,57.68743 N/11.89448 E
57.68880,11.87407,FOX SUNRISE,2020-09-03 20:51:00,2005,9333917,Oil Products Tanker,Sweden,DK SKA PEC-311,Under way,219.7° / 2.0 kn,The current position of FOX SUNRISE is at North Sea (coordinates 57.6888 N / 11.87407 E) reported 1 min ago by AIS. The vessel is en route to DK SKA PEC-311 sailing at a speed of 2.0 knots and expected to arrive there on Sep 4 04:00.,The vessel FOX SUNRISE (IMO: 9333917 MMSI 266203000) is a Oil Products Tanker built in 2005 (15 years old) andcurrently sailing under the flag of Sweden.,https://static.vesselfinder.net/ship-photo/9333917-266203000-6c14260ae5a648129c6c2f2b5d07a0f4/1,57.6888 N/11.87407 E
57.67767,11.68417,AALBORG,2020-09-03 20:51:00,2005,9327475,Chemical/Oil Products Tanker,Denmark,SEGOT PEC 62552,At anchor,311.0° / 0.0 kn,The current position of AALBORG is at North Sea (coordinates 57.67767 N / 11.68417 E) reported 1 min ago by AIS. The vessel is en route to SEGOT PEC 62552 and expected to arrive there on Sep 3 08:00.,The vessel AALBORG (IMO: 9327475 MMSI 220609000) is a Chemical/Oil Products Tanker built in 2005 (15 years old) andcurrently sailing under the flag of Denmark.,https://static.vesselfinder.net/ship-photo/9327475-220609000-150fdea195df56562b88505b1f8cacb0/1,57.67767 N/11.68417 E
57.64720,11.70812,STENA VINGA,2020-09-03 20:51:00,2005,9323699,Passenger/Ro-Ro Cargo Ship,Sweden,SEGOT>>DKFDH>>SEGOT,Under way,227.0° / 16.7 kn,The current position of STENA VINGA is at North Sea (coordinates 57.6472 N / 11.70812 E) reported 1 min ago by AIS. The vessel is en route to the port of Goteborg sailing at a speed of 16.7 knots and expected to arrive there on Sep 2 23:30.,The vessel STENA VINGA (IMO: 9323699 MMSI 266467000) is a Passenger/Ro-Ro Cargo Ship built in 2005 (15 years old) andcurrently sailing under the flag of Sweden.,https://static.vesselfinder.net/ship-photo/9323699-220378000-f1ca98e7dff19a7f313b2941239c8013/1,57.6472 N/11.70812 E
